District,Stunting_Total_%,Underweight_Total_%,Measurement_Efficiency,Measurement_Coverage_%,Stunting_Total_Pct_0_5,Underweight_Total_Pct_0_5,Measurement_Coverage_Pct_0_5,LBW_Rate_%,PW_Anaemia_Rate,AG_Anaemia_%,Optimum_WG_Latest_%,HV_Percentage,Active_AWC_%,SAM_Rate_%,SUW_Rate_%
Angul,21.17,10.79,99.97,99.97,26.91,7.74,99.92,6.96,28.16,,9.36,98.76,99.88,0.08,0.46
Balangir,30.72,20.2,99.96,99.96,38.32,17.2,99.97,13.76,36.53,47.41,20.46,99.23,99.18,0.02,1.06
Balasore,22.19,13.03,99.97,99.97,31.61,11.6,99.97,11.07,35.49,,15.78,98.53,99.98,0.17,0.88
Bargarh,13.6,10.05,99.98,99.98,16.44,7.51,99.99,11.79,32.83,,23.89,98.79,99.9,0.09,0.43
Bhadrak,15.79,9.32,99.98,99.98,20.33,6.9,99.98,9.65,31.52,,5.82,99.0,99.88,0.14,0.38
Boudh,25.73,15.93,99.94,99.94,34.51,12.38,99.92,11.84,59.51,,34.22,99.46,100.0,0.1,0.84
Cuttack,10.95,6.73,99.99,99.99,18.24,5.7,99.99,10.36,14.5,,37.77,98.92,99.97,0.06,0.28
Deogarh,18.01,17.5,100.0,100.0,27.45,12.64,99.98,9.96,57.14,,4.6,96.0,99.75,0.15,0.9
Dhenkanal,18.37,9.58,99.88,99.88,27.75,7.46,99.88,9.77,30.64,33.33,4.22,94.82,99.96,0.06,0.3
Gajapati,28.86,17.47,99.99,99.99,35.79,15.5,99.9,7.03,41.37,43.37,18.08,97.39,100.0,0.24,1.13
Ganjam,18.8,6.49,99.99,99.99,24.39,5.98,99.98,4.57,13.54,,8.0,99.47,99.96,0.13,0.42
Jagatsinghpur,10.0,4.95,99.99,99.99,16.74,5.24,100.0,10.64,18.81,,11.14,96.93,100.0,0.06,0.34
Jajapur,15.06,8.27,100.0,100.0,22.65,7.32,99.99,9.08,15.87,,9.16,97.64,100.0,0.06,0.51
Jharsuguda,25.17,16.43,100.0,100.0,34.4,12.96,99.91,14.73,32.43,,2.69,96.36,100.0,0.38,0.88
Kalahandi,25.14,14.48,99.92,99.92,31.96,12.4,99.9,11.76,40.44,64.06,10.73,96.53,99.92,0.16,0.84
Kandhamal,26.49,19.11,99.98,99.98,34.12,15.43,99.96,13.06,52.23,78.12,8.4,98.5,99.86,0.1,0.99
Kendrapara,8.76,5.06,99.99,99.99,12.6,4.39,99.98,9.55,18.62,,7.42,98.76,99.95,0.06,0.16
Keonjhar,27.79,20.91,99.94,99.94,34.83,18.41,99.97,14.88,46.12,,7.47,95.14,99.94,0.16,1.77
Khordha,12.38,7.93,99.99,99.99,17.43,6.33,99.99,8.96,14.96,,9.79,98.2,99.88,0.09,0.34
Koraput,29.44,19.9,99.75,99.75,30.51,15.29,99.88,10.33,56.67,68.97,7.18,97.75,99.79,0.06,1.12
Malkangiri,36.17,31.58,99.98,99.98,44.37,25.71,99.8,10.75,47.55,6.67,1.53,97.77,100.0,0.23,2.52
Mayurbhanj,27.75,23.85,99.97,99.97,34.81,20.49,99.92,15.47,44.99,,8.57,93.28,99.86,0.14,1.97
Nabarangpur,28.52,24.13,99.96,99.96,35.28,20.31,99.94,11.2,55.58,42.86,2.82,97.73,99.91,0.07,1.7
Nayagarh,16.6,12.25,99.99,99.99,27.03,9.3,99.87,13.99,24.28,,6.19,98.07,100.0,0.12,0.54
Nuapada,26.83,17.05,99.97,99.97,27.83,11.23,99.97,13.36,61.18,57.81,10.35,98.28,100.0,0.06,0.53
Puri,9.8,4.92,99.99,99.99,11.84,3.47,100.0,9.06,15.47,,17.81,98.74,100.0,0.01,0.12
Rayagada,28.15,16.54,99.99,99.99,31.81,12.7,99.96,10.14,48.18,54.76,1.2,98.83,99.76,0.18,0.97
Sambalpur,27.28,23.66,99.99,99.99,35.5,18.25,99.97,13.99,38.55,,3.86,95.86,99.95,0.32,1.7
Subarnapur,26.33,18.05,99.98,99.98,35.15,14.18,99.96,16.63,37.27,,13.29,99.27,100.0,0.19,1.05
Sundergarh,22.4,15.38,99.99,99.99,27.61,12.48,99.98,14.44,52.32,,12.5,95.02,100.0,0.13,0.82
