District,Total AWC,Total Active AWC,Total Inactive AWC,Newly Added AWC during Month,Inactive AWC during Month
Angul,1691,1689,2,0,0
Balangir,2797,2774,23,0,0
Balasore,4221,4220,1,0,0
Bargarh,2922,2919,3,0,0
Bhadrak,2438,2435,3,0,0
Boudh,727,727,0,0,0
Cuttack,3344,3343,1,0,0
Deogarh,802,800,2,0,0
Dhenkanal,2224,2223,1,0,0
Gajapati,2443,2443,0,0,0
Ganjam,5164,5162,2,0,0
Jagatsinghpur,1815,1815,0,0,0
Jajapur,2826,2826,0,0,0
Jharsuguda,967,967,0,0,0
Kalahandi,2379,2377,2,0,0
Kandhamal,2201,2198,3,0,0
Kendrapara,2148,2147,1,0,0
Keonjhar,3363,3361,2,0,0
Khordha,2557,2554,3,0,0
Koraput,3404,3397,7,0,0
Malkangiri,1324,1324,0,0,0
Mayurbhanj,5160,5153,7,0,0
Nabarangpur,2332,2330,2,0,0
Nayagarh,1584,1584,0,0,0
Nuapada,1408,1408,0,0,0
Puri,2599,2599,0,0,0
Rayagada,2092,2087,5,0,0
Sambalpur,1887,1886,1,0,0
Subarnapur,1556,1556,0,0,0
Sundergarh,3919,3919,0,0,0
