district,total_active_children_registered_in_the_awc_for_the_month,total_active_children_measured_(height_&_weight)_for_the_month,measurement_efficiency_(%),severely_stunted_(n),severely_stunted_(%),moderately_stunted_(n),moderately_stunted_(%),not_stunted_(n),not_stunted_(%),severely_underweight_(n),severely_underweight_(%),moderately_underweight_(n),moderately_underweight_(%),not_underweight_(n),not_underweight_(%)
Angul,15393,15388,99.97,491,3.19,2766,17.98,12131,78.83,75,0.49,1585,10.3,13728,89.21
Balangir,17217,17210,99.96,984,5.72,4303,25.0,11923,69.28,261,1.52,3215,18.68,13734,79.8
Balasore,14117,14113,99.97,641,4.54,2491,17.65,10981,77.81,126,0.89,1714,12.14,12273,86.96
Bargarh,11599,11597,99.98,100,0.86,1477,12.74,10020,86.4,75,0.65,1090,9.4,10432,89.95
Bhadrak,11655,11653,99.98,289,2.48,1551,13.31,9813,84.21,53,0.45,1034,8.87,10566,90.67
Boudh,6250,6246,99.94,196,3.14,1411,22.59,4639,74.27,59,0.94,936,14.99,5251,84.07
Cuttack,18818,18816,99.99,145,0.77,1916,10.18,16755,89.05,79,0.42,1188,6.31,17549,93.27
Deogarh,3126,3126,100.0,79,2.53,484,15.48,2563,81.99,38,1.22,509,16.28,2579,82.5
Dhenkanal,8005,7995,99.88,283,3.54,1186,14.83,6526,81.63,41,0.51,725,9.07,7229,90.42
Gajapati,8344,8343,99.99,395,4.73,2013,24.13,5935,71.14,122,1.46,1336,16.01,6885,82.52
Ganjam,27646,27643,99.99,1242,4.49,3957,14.31,22444,81.19,115,0.42,1677,6.07,25851,93.52
Jagatsinghpur,8934,8933,99.99,99,1.11,794,8.89,8040,90.0,37,0.41,406,4.54,8490,95.04
Jajapur,20081,20080,100.0,428,2.13,2596,12.93,17056,84.94,96,0.48,1565,7.79,18419,91.73
Jharsuguda,5169,5169,100.0,265,5.13,1036,20.04,3868,74.83,48,0.93,801,15.5,4320,83.58
Kalahandi,23009,22990,99.92,840,3.65,4941,21.49,17209,74.85,264,1.15,3064,13.33,19662,85.52
Kandhamal,8663,8661,99.98,259,2.99,2035,23.5,6367,73.51,123,1.42,1532,17.69,7006,80.89
Kendrapara,12433,12432,99.99,131,1.05,958,7.71,11343,91.24,30,0.24,599,4.82,11803,94.94
Keonjhar,20048,20035,99.94,900,4.49,4668,23.3,14467,72.21,348,1.74,3840,19.17,15847,79.1
Khordha,14890,14888,99.99,156,1.05,1687,11.33,13045,87.62,87,0.58,1095,7.35,13706,92.06
Koraput,20224,20173,99.75,784,3.89,5155,25.55,14234,70.56,268,1.33,3747,18.57,16158,80.1
Malkangiri,9784,9782,99.98,622,6.36,2916,29.81,6244,63.83,315,3.22,2774,28.36,6693,68.42
Mayurbhanj,14459,14454,99.97,592,4.1,3418,23.65,10444,72.26,300,2.08,3147,21.77,11007,76.15
Nabarangpur,16175,16168,99.96,754,4.66,3858,23.86,11556,71.47,354,2.19,3548,21.94,12266,75.87
Nayagarh,8016,8015,99.99,217,2.71,1113,13.89,6685,83.41,72,0.9,910,11.35,7033,87.75
Nuapada,5869,5867,99.97,246,4.19,1328,22.64,4293,73.17,75,1.28,925,15.77,4867,82.96
Puri,10593,10592,99.99,45,0.42,994,9.38,9553,90.19,23,0.22,498,4.7,10071,95.08
Rayagada,15627,15625,99.99,695,4.45,3703,23.7,11227,71.85,186,1.19,2398,15.35,13041,83.46
Sambalpur,10785,10784,99.99,417,3.87,2525,23.41,7842,72.72,246,2.28,2306,21.38,8232,76.34
Subarnapur,4540,4539,99.98,217,4.78,978,21.55,3344,73.67,52,1.15,767,16.9,3720,81.96
Sundergarh,22687,22684,99.99,649,2.86,4432,19.54,17603,77.6,178,0.78,3311,14.6,19195,84.62
