district,total_awc_operational,aww,aww_on_additional_charges,awh
Angul,1689,1679,10,1672
Balangir,2774,2754,20,2714
Balasore,4220,4188,32,4080
Bargarh,2919,2907,12,2894
Bhadrak,2435,2410,25,2402
Boudh,727,719,8,718
Cuttack,3343,3313,30,3280
Deogarh,800,796,4,782
Dhenkanal,2223,2212,11,2110
Gajapati,2443,2427,16,2095
Ganjam,5162,5128,33,5067
Jagatsinghpur,1815,1799,16,1790
Jajapur,2826,2807,19,2776
Jharsuguda,967,967,0,961
Kalahandi,2377,2354,23,2225
Kandhamal,2198,2181,17,2070
Kendrapara,2147,2113,34,2069
Keonjhar,3361,3347,14,3219
Khordha,2554,2540,14,2525
Koraput,3397,3363,34,3040
Malkangiri,1324,1301,23,1178
Mayurbhanj,5153,5084,68,4821
Nabarangpur,2330,2322,8,2277
Nayagarh,1584,1577,7,1544
Nuapada,1408,1392,16,1348
Puri,2599,2556,43,2569
Rayagada,2087,2054,33,1853
Sambalpur,1886,1875,11,1828
Subarnapur,1556,1539,17,1526
Sundergarh,3919,3904,13,3849
