district,total_active_pregnant_women,no._of_pw_due_anc_1,no._of_pw_completed_anc_1,no._of_pw_due_anc_2,no._of_pw_completed_anc_2,no._of_pw_gained_optimum_weight_in_anc_2,no._of_pw_due_anc_3,no._of_pw_completed_anc_3,no._of_pw_gained_optimum_weight_in_anc_3,no._of_pw_due_anc_4,no._of_pw_completed_anc_4,no._of_pw_gained_optimum_weight_in_anc_4,total_no._of_pw_gained_optimum_weight_as_per_latest_anc,total_haemoglobin_measured_as_per_latest_anc,total_anaemic_as_per_latest_anc
Angul,8201,8201,5572,7784,1354,949,4263,428,138,1847,79,12,768,5564,2118
Balangir,12868,12868,10438,12057,5454,3112,6762,2169,837,2995,405,50,2633,10396,4305
Balasore,13661,13661,10366,13142,4172,2715,7346,1442,457,3317,294,35,2156,10335,3918
Bargarh,9359,9359,7689,8786,4407,2822,4727,1790,613,1922,369,47,2236,7676,2689
Bhadrak,9819,9819,6288,9215,1007,662,4881,297,103,2050,34,3,571,6269,2165
Boudh,3317,3317,3264,3140,2426,1396,1712,1088,412,764,280,36,1135,3257,1965
Cuttack,12009,12009,11560,11606,9385,6859,6493,4447,1094,2873,1233,145,4536,11489,1962
Deogarh,2110,2110,1265,1984,187,114,1059,62,21,472,11,3,97,1265,642
Dhenkanal,7497,7497,4819,6978,552,385,3515,148,32,1560,23,1,316,4814,2085
Gajapati,4806,4806,3889,4427,1928,1081,2094,678,185,735,130,17,869,3878,1999
Ganjam,22210,22210,14062,21182,3277,2267,12712,1065,316,5528,225,19,1776,14027,3215
Jagatsinghpur,4828,4828,3506,4641,1070,654,2480,344,107,1109,62,13,538,3506,686
Jajapur,11348,11348,7863,10623,1861,1281,5358,553,152,2176,102,11,1040,7826,1736
Jharsuguda,3013,3013,1888,2877,131,92,1641,38,18,690,3,2,81,1886,797
Kalahandi,12874,12874,8861,12097,2743,1672,6600,898,273,2610,170,16,1381,8839,4496
Kandhamal,6905,6905,4907,6363,1222,693,3071,429,142,1257,87,14,580,4901,2755
Kendrapara,8197,8197,5325,7813,1130,787,4251,420,126,1866,88,13,608,5305,2117
Keonjhar,12035,12035,8242,11342,1770,1112,5697,520,128,2288,73,9,899,8228,4555
Khordha,11955,11955,8506,11347,2186,1369,6014,669,229,2586,131,21,1170,8477,1355
Koraput,13314,13314,9087,12736,2109,1151,6931,679,193,2889,114,7,956,9066,5162
Malkangiri,6452,6452,3665,6087,213,109,3223,57,22,1304,16,5,99,3661,1947
Mayurbhanj,16484,16484,11177,15706,2635,1686,8626,850,283,3956,170,13,1412,11129,6803
Nabarangpur,13228,13228,7861,12551,744,440,6968,178,40,2887,20,2,373,7843,5023
Nayagarh,4976,4976,3146,4644,553,347,2344,143,56,919,14,3,308,3132,864
Nuapada,5931,5931,4175,5567,1286,711,3122,492,187,1380,95,12,614,4170,2524
Puri,8460,8460,6927,8026,3051,1861,4312,1065,321,1881,228,25,1507,6910,1263
Rayagada,8258,8258,4480,7835,188,125,4243,53,13,1777,10,1,99,4480,2475
Sambalpur,5914,5914,3633,5563,434,256,2974,125,53,1277,21,2,228,3632,1759
Subarnapur,4499,4499,3095,4267,1124,681,2337,402,182,1004,90,12,598,3091,1060
Sundergarh,11273,11273,8299,10660,2636,1631,5919,880,363,2516,158,18,1409,8282,4268
