district,"total_aww_between_01_-_30_nov,_2025","total_targeted_visits_between_01_-_30_nov,_2025","total_visits_made_between_01_-_30_nov,_2025","%_of_visits_made_between_01_-_30_nov,_2025","aww_completed_60%_hv_between_01_-_30_nov,_2025"
Angul,1679,25231,24919,98.76,1684
Balangir,2754,35713,35438,99.23,2769
Balasore,4188,44951,44288,98.53,4197
Bargarh,2907,28415,28070,98.79,2912
Bhadrak,2410,32344,32019,99.0,2433
Boudh,719,10309,10253,99.46,726
Cuttack,3313,42976,42511,98.92,3329
Deogarh,796,6345,6091,96.0,780
Dhenkanal,2212,22530,21362,94.82,2134
Gajapati,2427,15316,14916,97.39,2413
Ganjam,5128,74580,74188,99.47,5157
Jagatsinghpur,1799,16864,16346,96.93,1776
Jajapur,2807,39982,39039,97.64,2793
Jharsuguda,967,9540,9193,96.36,946
Kalahandi,2354,39312,37948,96.53,2341
Kandhamal,2181,20379,20074,98.5,2186
Kendrapara,2113,26791,26459,98.76,2140
Keonjhar,3347,40138,38189,95.14,3212
Khordha,2540,41485,40737,98.2,2539
Koraput,3363,36749,35923,97.75,3354
Malkangiri,1301,18943,18520,97.77,1307
Mayurbhanj,5084,49091,45792,93.28,4849
Nabarangpur,2322,36836,35999,97.73,2302
Nayagarh,1577,18472,18115,98.07,1571
Nuapada,1392,16179,15900,98.28,1395
Puri,2556,30430,30047,98.74,2589
Rayagada,2054,24122,23840,98.83,2076
Sambalpur,1875,19614,18801,95.86,1845
Subarnapur,1539,13494,13396,99.27,1554
Sundergarh,3904,36773,34940,95.02,3790
