district,total_children_0-6m,low_birth_weight_children_0-6m
Angul,5948,414
Balangir,7430,1022
Balasore,11214,1241
Bargarh,6130,723
Bhadrak,7526,726
Boudh,2373,281
Cuttack,10545,1092
Deogarh,1506,150
Dhenkanal,5555,543
Gajapati,3587,252
Ganjam,16551,757
Jagatsinghpur,4061,432
Jajapur,9678,879
Jharsuguda,2274,335
Kalahandi,8221,967
Kandhamal,4524,591
Kendrapara,6419,613
Keonjhar,9598,1428
Khordha,10070,902
Koraput,7665,792
Malkangiri,4215,453
Mayurbhanj,11918,1844
Nabarangpur,7945,890
Nayagarh,4538,635
Nuapada,3579,478
Puri,7287,660
Rayagada,5395,547
Sambalpur,4383,613
Subarnapur,2899,482
Sundergarh,8525,1231
