district,project,sector,awc,total_beneficiary,total_pw,total_lm,total_children_(6m_to_3yr),total_children_(3yr_to_5yr),total_children_(5yr_to_6yr),total_sam_children_(6m_to_3yr),total_sam_children_(3_yr_to_5_yr),total_suw_children_(6m_to_3yr),total_suw_children_(3yr_to_6yr),total_sam_with_suw_children_(6m-3y),total_sam_with_suw_children_(3y-5y),adolescent_girls
Angul,8,74,1689,94003,8193,5878,37176,33767,8989,63,16,245,188,27,29,0
Balangir,14,116,2774,178006,12852,7377,53915,46747,14978,26,15,1017,866,45,29,42137
Balasore,15,155,4220,166644,13653,10903,66736,61417,13935,174,113,918,542,107,60,0
Bargarh,13,127,2919,103524,9348,5982,41245,36043,10906,72,25,221,222,66,38,0
Bhadrak,8,94,2435,113537,9808,7407,45711,39908,10703,112,44,280,154,53,33,0
Boudh,3,34,727,36202,3317,2350,14503,12337,3695,25,10,187,116,15,7,0
Cuttack,16,122,3343,142938,11999,10230,62000,47417,11292,62,21,183,223,37,26,0
Deogarh,3,27,800,24196,2106,1447,9493,8606,2544,30,6,89,128,28,12,0
Dhenkanal,8,84,2223,109554,7493,5454,33160,31066,7515,40,25,215,117,11,9,24866
Gajapati,7,70,2443,62964,4804,3460,20007,18406,7394,118,33,409,300,66,41,8893
Ganjam,24,210,5162,270811,22187,16657,107135,97977,26855,265,86,770,364,104,61,0
Jagatsinghpur,8,74,1815,61688,4812,4013,25557,21059,6247,24,13,135,75,21,6,0
Jajapur,11,107,2826,145438,11344,9556,57799,50831,15908,65,24,397,345,66,54,0
Jharsuguda,7,36,967,33497,2993,2181,14309,10928,3086,84,42,174,120,36,14,0
Kalahandi,14,95,2377,182099,12858,7932,55494,51869,17606,206,83,966,570,115,79,36340
Kandhamal,12,72,2198,85474,6884,4322,29149,27138,8199,67,20,475,374,65,23,9782
Kendrapara,9,84,2147,98246,8191,6281,39160,34519,10095,45,16,103,55,29,18,0
Keonjhar,14,121,3361,158485,12016,9293,61435,57636,18105,163,83,1612,1193,193,107,0
Khordha,13,102,2554,128316,11933,9939,56048,39583,10813,73,38,226,207,50,41,0
Koraput,15,125,3397,164635,13284,7428,54389,51857,17072,71,20,1055,791,80,28,20605
Malkangiri,7,51,1324,79009,6433,4041,27236,23960,9175,134,49,1083,910,133,76,8164
Mayurbhanj,26,168,5153,187256,16460,11433,77562,69688,12113,184,74,2084,1605,238,119,0
Nabarangpur,10,99,2330,158099,13211,7676,55651,49699,13205,69,38,1506,1185,142,61,18657
Nayagarh,8,49,1584,63282,4973,4427,25394,21684,6804,57,21,145,194,25,23,0
Nuapada,5,55,1408,74884,5923,3442,23437,21078,4438,30,16,208,187,23,27,16566
Puri,12,107,2599,101786,8456,7174,42359,34291,9506,8,6,67,54,20,11,0
Rayagada,11,72,2087,109216,8240,5323,37988,37276,14182,154,45,578,484,113,44,6207
Sambalpur,10,71,1886,66753,5876,4252,27341,22601,6683,135,76,509,623,106,72,0
Subarnapur,6,57,1556,45910,4491,2844,18848,15867,3860,67,20,288,193,44,24,0
Sundergarh,21,148,3919,127888,11253,8325,53401,42738,12171,115,49,599,444,115,50,0
